oldname,split,newname,casename
44_Interpretation_des_Arrets_No_7_et_8_Usine_de_Chorzow_Opinion_Anzilotti.pdf,even-english,PCIJ_A_13_ChorzowFactory-Interpretation_DEU_POL_1927-12-16_JUD_01_ME_01_BI.pdf,Interpretation of Judgments Nos. 7 and 8 (The Chorzów Factory)
45_Denonciation_du_traite_sino_belge_Ordonnance_19280221.pdf,odd-english,PCIJ_A_14_SinoBelgianTreaty_BEL_CHN_1928-02-21_ORD_01_TL_00_BI.pdf,"Denunciation of the Treaty of November 2nd, 1865, between China and Belgium"
46_Droits_de_minorites_en_Haute_Silesie_Ecoles_minoritaires_Arret.pdf,odd-english,PCIJ_A_15_MinoritySchoolsUpperSilesia_DEU_POL_1928-04-26_JUD_01_ME_00_BI.pdf,Rights of Minorities in Upper Silesia (Minority Schools)
47_Droits_de_minorites_en_Haute_Silesie_Ecoles_minoritaires_Opinion_Huber.pdf,even-english,PCIJ_A_15_MinoritySchoolsUpperSilesia_DEU_POL_1928-04-26_JUD_01_ME_01_BI.pdf,Rights of Minorities in Upper Silesia (Minority Schools)
48_Droits_de_minorites_en_Haute_Silesie_Ecoles_minoritaires_Opinion_Nyholm.pdf,even-english,PCIJ_A_15_MinoritySchoolsUpperSilesia_DEU_POL_1928-04-26_JUD_01_ME_02_BI.pdf,Rights of Minorities in Upper Silesia (Minority Schools)
49_Droits_de_minorites_en_Haute_Silesie_Ecoles_minoritaires_Opinion_Negulesco.pdf,even-english,PCIJ_A_15_MinoritySchoolsUpperSilesia_DEU_POL_1928-04-26_JUD_01_ME_03_BI.pdf,Rights of Minorities in Upper Silesia (Minority Schools)
50_Droits_de_minorites_en_Haute_Silesie_Ecoles_minoritaires_Opinion_Schucking.pdf,even-english,PCIJ_A_15_MinoritySchoolsUpperSilesia_DEU_POL_1928-04-26_JUD_01_ME_04_BI.pdf,Rights of Minorities in Upper Silesia (Minority Schools)
52_Droits_de_minorites_en_Haute_Silesie_Ecoles_minoritaires_Annexe_1.pdf,even-english,PCIJ_A_15_MinoritySchoolsUpperSilesia_DEU_POL_1928-04-26_ANX_01_NA_NA_BI.pdf,Rights of Minorities in Upper Silesia (Minority Schools)
51_Droits_de_minorites_en_Haute_Silesie_Ecoles_minoritaires_Annexe_2.pdf,even-english,PCIJ_A_15_MinoritySchoolsUpperSilesia_DEU_POL_1928-04-26_ANX_02_NA_NA_BI.pdf,Rights of Minorities in Upper Silesia (Minority Schools)
53_Denonciation_du_traite_sino-belge_Ordonnance_19280813.pdf,odd-english,PCIJ_A_16_SinoBelgianTreaty_BEL_CHN_1928-08-13_ORD_01_TL_00_BI.pdf,"Denunciation of the Treaty of November 2nd, 1865, between China and Belgium"
54_Usine_de_Chorzow_Fond_Arret.pdf,odd-english,PCIJ_A_17_ChorzowFactory-Indemnities_DEU_POL_1928-09-13_JUD_01_ME_00_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Merits)
54_Usine_de_Chorzow_Fond_Arret_1.pdf,even-english,PCIJ_A_17_ChorzowFactory-Indemnities_DEU_POL_1928-09-13_JUD_01_ME_01_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Merits)
54_Usine_de_Chorzow_Fond_Arret_2.pdf,even-english,PCIJ_A_17_ChorzowFactory-Indemnities_DEU_POL_1928-09-13_JUD_01_ME_02_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Merits)
55_Usine_de_Chorzow_Fond_Opinion_Ehrlich.pdf,even-english,PCIJ_A_17_ChorzowFactory-Indemnities_DEU_POL_1928-09-13_JUD_01_ME_03_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Merits)
56_Usine_de_Chorzow_Fond_Observations_Nyholm.pdf,even-english,PCIJ_A_17_ChorzowFactory-Indemnities_DEU_POL_1928-09-13_JUD_01_ME_04_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Merits)
57_Usine_de_Chorzow_Fond_Ordonnance_19280913.pdf,even-english,PCIJ_A_17_ChorzowFactory-Indemnities_DEU_POL_1928-09-13_ORD_01_EX_00_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Merits)
